timestamp,plot_id,cycle_id,crop,variety,environment,variable,value,unit,source,method,measurement_method,quality,uncertainty,provenance,source_type,observation_type
2026-01-01T00:00:00+00:00,plot_12010,cycle_tomato_1,tomato,RAF,GREENHOUSE,air_temperature,19.0,degC,synthetic_real_data_substitute,,synthetic_model,VALID,0.05,SIMULATED_REAL_DATA_SUBSTITUTE,synthetic,continuous
2026-01-01T00:00:00+00:00,plot_12010,cycle_tomato_1,tomato,RAF,GREENHOUSE,relative_humidity,72.0,%,synthetic_real_data_substitute,,synthetic_model,VALID,0.05,SIMULATED_REAL_DATA_SUBSTITUTE,synthetic,continuous
2026-01-01T00:00:00+00:00,plot_12010,cycle_tomato_1,tomato,RAF,GREENHOUSE,vpd,1.3,kPa,synthetic_real_data_substitute,,synthetic_model,VALID,0.05,SIMULATED_REAL_DATA_SUBSTITUTE,synthetic,continuous
2026-01-01T00:00:00+00:00,plot_12010,cycle_tomato_1,tomato,RAF,GREENHOUSE,solar_radiation,550.0,W_m-2,synthetic_real_data_substitute,,synthetic_model,VALID,0.05,SIMULATED_REAL_DATA_SUBSTITUTE,synthetic,continuous
2026-01-01T00:00:00+00:00,plot_12010,cycle_tomato_1,tomato,RAF,GREENHOUSE,co2,420.0,ppm,synthetic_real_data_substitute,,synthetic_model,VALID,0.05,SIMULATED_REAL_DATA_SUBSTITUTE,synthetic,continuous
2026-01-01T00:00:00+00:00,plot_12010,cycle_tomato_1,tomato,RAF,GREENHOUSE,lai,1.9,m2_m-2,synthetic_real_data_substitute,,synthetic_model,VALID,0.05,SIMULATED_REAL_DATA_SUBSTITUTE,synthetic,continuous
2026-01-01T00:00:00+00:00,plot_12010,cycle_tomato_1,tomato,RAF,GREENHOUSE,biomass,250.0,g_m-2,synthetic_real_data_substitute,,synthetic_model,VALID,0.05,SIMULATED_REAL_DATA_SUBSTITUTE,synthetic,continuous
2026-01-01T00:00:00+00:00,plot_12010,cycle_tomato_1,tomato,RAF,GREENHOUSE,soil_water_content,0.28,m3_m-3,synthetic_real_data_substitute,,synthetic_model,VALID,0.05,SIMULATED_REAL_DATA_SUBSTITUTE,synthetic,continuous
2026-01-01T00:00:00+00:00,plot_12010,cycle_tomato_1,tomato,RAF,GREENHOUSE,yield,0.7,kg_m-2,synthetic_real_data_substitute,,synthetic_model,VALID,0.05,SIMULATED_REAL_DATA_SUBSTITUTE,synthetic,continuous
2026-01-01T00:00:00+00:00,plot_12010,cycle_tomato_1,tomato,RAF,GREENHOUSE,fruit_weight,55.0,g,synthetic_real_data_substitute,,synthetic_model,VALID,0.05,SIMULATED_REAL_DATA_SUBSTITUTE,synthetic,continuous
2026-01-01T06:00:00+00:00,plot_12010,cycle_tomato_1,tomato,RAF,GREENHOUSE,air_temperature,19.3,degC,synthetic_real_data_substitute,,synthetic_model,VALID,0.05,SIMULATED_REAL_DATA_SUBSTITUTE,synthetic,continuous
2026-01-01T06:00:00+00:00,plot_12010,cycle_tomato_1,tomato,RAF,GREENHOUSE,relative_humidity,72.3,%,synthetic_real_data_substitute,,synthetic_model,VALID,0.05,SIMULATED_REAL_DATA_SUBSTITUTE,synthetic,continuous
2026-01-01T06:00:00+00:00,plot_12010,cycle_tomato_1,tomato,RAF,GREENHOUSE,vpd,1.6,kPa,synthetic_real_data_substitute,,synthetic_model,VALID,0.05,SIMULATED_REAL_DATA_SUBSTITUTE,synthetic,continuous
2026-01-01T06:00:00+00:00,plot_12010,cycle_tomato_1,tomato,RAF,GREENHOUSE,solar_radiation,550.3,W_m-2,synthetic_real_data_substitute,,synthetic_model,VALID,0.05,SIMULATED_REAL_DATA_SUBSTITUTE,synthetic,continuous
